question,answer
设 $D$ 为 $\triangle ABC$ 所在平面内一点，$\vec{BC} = 3\vec{CD}$，则（ ） A. $\vec{AD} = -\frac{1}{3}\vec{AB} + \frac{4}{3}\vec{AC}$ B. $\vec{AD} = \frac{1}{3}\vec{AB} - \frac{4}{3}\vec{AC}$ C. $\vec{AD} = \frac{4}{3}\vec{AB} + \frac{1}{3}\vec{AC}$ D. $\vec{AD} = \frac{4}{3}\vec{AB} - \frac{1}{3}\vec{AC}$,$\vec{AD} = -\frac{1}{3}\vec{AB} + \frac{4}{3}\vec{AC}$
已知正方形 $ABCD$ 的边长为 2，$E$ 为 $CD$ 的中点，则 $\vec{AE} \cdot \vec{BD} =$ ________。,0
"已知 $\vec{a} = (3, 4), \vec{b} = (1, 0), \vec{c} = \vec{a} + t\vec{b}$，若 $\langle \vec{a}, \vec{c} \rangle = \langle \vec{b}, \vec{c} \rangle$，则 $t =$（ ） A. $-6$ B. $-5$ C. $5$ D. $6$",5
"已知向量 $\vec{a} = (2, 5), \vec{b} = (\lambda, 4)$，若 $\vec{a} // \vec{b}$，则 $\lambda =$ ________。",$\frac{8}{5}$
"若向量 $\vec{a}, \vec{b}$ 满足 $|\vec{a}| = 3, |\vec{a} - \vec{b}| = 5, \vec{a} \cdot \vec{b} = 1$，则 $|\vec{b}| =$ ________。",$3\sqrt{2}$
"已知向量 $\vec{a} = (3, 1), \vec{b} = (1, 0), \vec{c} = \vec{a} + k\vec{b}$。若 $\vec{a} \perp \vec{c}$，则 $k =$ ________。",$-\frac{10}{3}$
"已知向量 $\vec{a} = (2, 3), \vec{b} = (3, 2)$，则 $|\vec{a} - \vec{b}| =$（ ） A. $\sqrt{2}$ B. 2 C. $5\sqrt{2}$ D. 50",$\sqrt{2}$
"已知向量 $\vec{a} = (1, 2), \vec{b} = (2, -2), \vec{c} = (1, \lambda)$。若 $\vec{c} // (2\vec{a} + \vec{b})$，则 $\lambda =$ ________。",$\frac{1}{2}$
"已知向量 $\vec{a} = (m, 4), \vec{b} = (3, -2)$，且 $\vec{a} // \vec{b}$，则 $m =$ ________。",$-6$
"设向量 $\vec{a}, \vec{b}$ 不平行，向量 $\lambda \vec{a} + \vec{b}$ 与 $\vec{a} + 2\vec{b}$ 平行，则实数 $\lambda =$ ________。",$\frac{1}{2}$
"已知向量 $\vec{a}, \vec{b}$ 满足 $|\vec{a}| = 1, |\vec{b}| = \sqrt{3}, |\vec{a} - 2\vec{b}| = 3$，则 $\vec{a} \cdot \vec{b} =$（ ） A. $-2$ B. $-1$ C. 1 D. 2",-1
"已知向量 $\vec{a} = (m, 3), \vec{b} = (1, m + 1)$。若 $\vec{a} \perp \vec{b}$，则 $m =$ ________。",$-\frac{3}{4}$ 或 $-0.75$
"已知向量 $\vec{a}, \vec{b}$ 满足 $|\vec{a}| = 5, |\vec{b}| = 6, \vec{a} \cdot \vec{b} = -6$，则 $\cos \langle \vec{a}, \vec{a} + \vec{b} \rangle =$（ ）",$\frac{19}{35}$
"设向量 $\vec{a} = (1, -1), \vec{b} = (m + 1, 2m - 4)$，若 $\vec{a} \perp \vec{b}$，则 $m =$ ________。",5
"已知单位向量 $\vec{a}, \vec{b}$ 的夹角为 $45^\circ, k\vec{a} - \vec{b}$ 与 $\vec{a}$ 垂直，则 $k =$ ________。",$\frac{\sqrt{2}}{2}$
"设 $\vec{a}, \vec{b}$ 为单位向量，且 $|\vec{a} + \vec{b}| = 1$，则 $|\vec{a} - \vec{b}| =$ ________。",$\sqrt{3}$
"已知 $P$ 是边长为 2 的正六边形 $ABCDEF$ 内的一点，则 $\vec{AP} \cdot \vec{AB}$ 的取值范围是（ ） A. $(-2, 6)$ B. $(-6, 2)$ C. $(-2, 4)$ D. $(-4, 6)$","$(-2, 6)$"
"已知向量 $\vec{a} = (2, 2), \vec{b} = (-8, 6)$，则 $\cos \langle \vec{a}, \vec{b} \rangle =$ ________。",$-\frac{\sqrt{2}}{10}$
"已知向量 $\vec{a}, \vec{b}$ 满足 $|\vec{a}| = 1, \vec{a} \cdot \vec{b} = -1$，则 $\vec{a} \cdot (2\vec{a} - \vec{b}) =$（ ） A. 4 B. 3 C. 2 D. 0",3
"设 $\vec{m}, \vec{n}$ 为非零向量，则“存在负数 $\lambda$，使得 $\vec{m} = \lambda \vec{n}$”是“$\vec{m} \cdot \vec{n} < 0$”的（ ） A. 充分而不必要条件 B. 必要而不充分条件 C. 充分必要条件 D. 既不充分也不必要条件",A
"已知向量 $\vec{BA} = (\frac{1}{2}, \frac{\sqrt{3}}{2}), \vec{BC} = (\frac{\sqrt{3}}{2}, \frac{1}{2})$，则 $\angle ABC =$（ ）
A. $30^\circ$  B. $45^\circ$  C. $60^\circ$  D. $120^\circ$",$30^\circ$
"已知 $A, B, C$ 是圆 $O$ 上的三点，若 $\vec{AO} = \frac{1}{2}(\vec{AB} + \vec{AC})$，则 $\vec{AB}$ 与 $\vec{AC}$ 的夹角为 ________。",$90^\circ$
"已知两个单位向量 $\vec{a}, \vec{b}$ 的夹角为 $60^\circ, \vec{c} = t\vec{a} + (1-t)\vec{b}$，若 $\vec{b} \cdot \vec{c} = 0$，则 $t =$ ________。",2
已知正方形 $ABCD$ 的边长为 2，$E$ 为 $CD$ 的中点，则 $\vec{AE} \cdot \vec{BD} =$ ________。,0
"已知向量 $\vec{a} + \vec{b} + \vec{c} = \vec{0}, |\vec{a}| = 1, |\vec{b}| = |\vec{c}| = 2$，则 $\vec{a} \cdot \vec{b} + \vec{b} \cdot \vec{c} + \vec{c} \cdot \vec{a} =$ ________。",$-\frac{9}{2}$
"已知单位向量 $\vec{a}, \vec{b}$ 的夹角为 $60^\circ$，则在下列向量中，与 $\vec{b}$ 垂直的是（ ） A. $\vec{a} + 2\vec{b}$ B. $2\vec{a} + \vec{b}$ C. $\vec{a} - 2\vec{b}$ D. $2\vec{a} - \vec{b}$",D
"已知 $\vec{a}, \vec{b}$ 为单位向量，且 $\vec{a} \cdot \vec{b} = 0$，若 $\vec{c} = 2\vec{a} - \sqrt{5}\vec{b}$，则 $\cos \langle \vec{a}, \vec{c} \rangle =$ ________。",$\frac{2}{3}$
"已知非零向量 $\vec{a}, \vec{b}$ 满足 $|\vec{a}| = 2|\vec{b}|$，且 $(\vec{a} - \vec{b}) \perp \vec{b}$，则 $\vec{a}$ 与 $\vec{b}$ 的夹角为（ ） A. $\frac{\pi}{6}$ B. $\frac{\pi}{3}$ C. $\frac{2\pi}{3}$ D. $\frac{5\pi}{6}$",B
"设 $a, b$ 均为单位向量，则“$|\vec{a} - 3\vec{b}| = |3\vec{a} + \vec{b}|$”是“$\vec{a} \perp \vec{b}$”的（ ）
A. 充分而不必要条件  B. 必要而不充分条件
C. 充分必要条件  D. 既不充分也不必要条件",C
"已知 $\vec{e_1}, \vec{e_2}$ 是互相垂直的单位向量，若 $\sqrt{3}\vec{e_1} - \vec{e_2}$ 与 $\vec{e_1} + \lambda\vec{e_2}$ 的夹角为 $60^\circ$，则实数 $\lambda$ 的值是 ________。",$\frac{\sqrt{3}}{3}$
"已知向量 $\vec{a} = (-2, 3), \vec{b} = (3, m)$，且 $\vec{a} \perp \vec{b}$，则 $m =$ ________。",2
"设非零向量 $\vec{a}, \vec{b}$ 满足 $|\vec{a} + \vec{b}| = |\vec{a} - \vec{b}|$，则（ ） A. $\vec{a} \perp \vec{b}$ B. $|\vec{a}| = |\vec{b}|$ C. $\vec{a} // \vec{b}$ D. $|\vec{a}| > |\vec{b}|$",A
"已知向量 $\vec{a}, \vec{b}$ 的夹角为 $60^\circ, |\vec{a}| = 2, |\vec{b}| = 1$，则 $|\vec{a} + 2\vec{b}| =$ ________。",$2\sqrt{3}$
"已知向量 $\vec{a} = (-1, 2), \vec{b} = (m, 1)$，若向量 $\vec{a} + \vec{b}$ 与 $\vec{a}$ 垂直，则 $m =$ ________。",-3
"已知向量 $\vec{a} = (1, m), \vec{b} = (3, -2)$，且 $(\vec{a} + \vec{b}) \perp \vec{b}$，则 $m =$",8
"设向量 $\vec{a} = (m, 1), \vec{b} = (1, 2)$，且 $|\vec{a} + \vec{b}|^2 = |\vec{a}|^2 + |\vec{b}|^2$，则 $m =$ ________。",$-2$
"设向量 $\vec{a} = (x, x + 1), \vec{b} = (1, 2)$，且 $\vec{a} \perp \vec{b}$，则 $x =$ ________。",$-\frac{2}{3}$
"设向量 $|\vec{a} - \vec{b}| = \sqrt{6}$ 满足 $(\vec{a} + \vec{b})^2 = 10, (\vec{a} - \vec{b})^2 = 6$，则 $\vec{a} \cdot \vec{b} =$（ ） A. 1 B. 2 C. 3 D. 5",1
设点 $P$ 在单位圆的内接正八边形 $A_1 A_2 \dots A_8$ 的边 $A_1 A_2$ 上，则 $\vec{PA_1}^2 + \vec{PA_2}^2 + \dots + \vec{PA_8}^2$ 的取值范围是 ________。,"$[12 + 2\sqrt{2}, 16]$"
"在 $\triangle ABC$ 中，$AC = 3, BC = 4, \angle C = 90^\circ$。$P$ 为 $\triangle ABC$ 所在平面内的动点，且 $PC = 1$，则 $\vec{PA} \cdot \vec{PB}$ 的取值范围是（ ） A. $[-5, 3]$ B. $[-3, 5]$ C. $[-6, 4]$ D. $[-4, 6]$",D
在边长为 1 的等边三角形 $ABC$ 中，$D$ 为线段 $BC$ 上的动点，$DE \perp AB$ 且交 $AB$ 于点 $E$，$DF // AB$ 且交 $AC$ 于点 $F$，则 $|2\vec{BE} + \vec{DF}|$ 的值为 ________；$(\vec{DE} + \vec{DF}) \cdot \vec{DA}$ 的最小值为 ________。,1  $\frac{1}{4}$
"设 $\vec{e_1}, \vec{e_2}$ 为单位向量，满足 $|2\vec{e_1} - \vec{e_2}| \le \sqrt{2}$，$\vec{a} = \vec{e_1} + \vec{e_2}, \vec{b} = 3\vec{e_1} + \vec{e_2}$，设 $\vec{a}, \vec{b}$ 的夹角为 $\theta$，则 $\cos^2 \theta$ 的最小值为 ________。",$\frac{28}{29}$
已知正方形 $ABCD$ 的边长为 2，点 $P$ 满足 $\vec{AP} = \frac{1}{2}(\vec{AB} + \vec{AC})$，则 $|\vec{PD}| =$ ________；$\vec{PB} \cdot \vec{PD} =$ ________。,$\sqrt{5}$  $-1$
"已知 $\vec{a_1}, \vec{a_2}, \vec{b_1}, \vec{b_2}, \dots, \vec{b_k} (k \in \mathbb{N}^*)$ 是平面内两两互不相等的向量，满足 $|\vec{a_1} - \vec{a_2}| = 1$ 且 $|\vec{a_i} - \vec{b_j}| \in \{1, 2\}$（其中 $i = 1, 2, j = 1, 2, \dots, k$），则 $k$ 的最大值为 ________。",6
"在四边形 $ABCD$ 中，$AD // BC, AB = 2\sqrt{3}, AD = 5, \angle A = 30^\circ$，点 $E$ 在线段 $CB$ 的延长线上，且 $AE = BE$，则 $\vec{BD} \cdot \vec{AE} =$ ________。",$-1$
"已知 $\vec{a}, \vec{b}, \vec{e}$ 是平面向量，$\vec{e}$ 是单位向量。若非零向量 $\vec{a}$ 与 $\vec{e}$ 的夹角为 $\frac{\pi}{3}$，向量 $\vec{b}$ 满足 $\vec{b}^2 - 4\vec{e} \cdot \vec{b} + 3 = 0$，则 $|\vec{a} - \vec{b}|$ 的最小值是（ ）
A. $\sqrt{3} - 1$  B. $\sqrt{3} + 1$  C. 2  D. $2 - \sqrt{3}$",$\sqrt{3} - 1$
"在平面直角坐标系中，已知点 $A(-1, 0), B(2, 0)$，$E, F$ 是 $y$ 轴上的两个动点，且 $|\vec{EF}| = 2$，则 $\vec{AE} \cdot \vec{BF}$ 的最小值为 ________。",$-3$
"已知向量 $\vec{a}, \vec{b}$ 满足 $|\vec{a}| = 1, |\vec{b}| = 2$，则 $|\vec{a} + \vec{b}| + |\vec{a} - \vec{b}|$ 的最小值是 ________，最大值是 ________。","4, 2\sqrt{5}"
"在平面直角坐标系 $xOy$ 中，$A(-12, 0), B(0, 6)$，点 $P$ 在圆 $O: x^2 + y^2 = 50$ 上，若 $\vec{PA} \cdot \vec{PB} \le 20$，则点 $P$ 的横坐标的取值范围是 ________。","$[-5\sqrt{2}, 1]$"
"在矩形 $ABCD$ 中，$AB = 1, AD = 2$，动点 $P$ 在以点 $C$ 为圆心且与 $BD$ 相切的圆上。若 $\vec{AP} = \lambda \vec{AB} + \mu \vec{AD}$，则 $\lambda + \mu$ 的最大值为（ ）
A. 3  B. $2\sqrt{2}$  C. $\sqrt{5}$  D. 2",$\sqrt{5}$
"已知 $\triangle ABC$ 是边长为 2 的等边三角形，$P$ 为平面 $ABC$ 内一点，则 $\vec{PA} \cdot (\vec{PB} + \vec{PC})$ 的最小值是（ ）
A. $-2$  B. $-\frac{3}{2}$  C. $-\frac{4}{3}$  D. $-1$",$-\frac{3}{2}$
"已知 $M(x_0, y_0)$ 是双曲线 $C: \frac{x^2}{2} - y^2 = 1$ 上的一点，$F_1, F_2$ 是 $C$ 上的两个焦点，若 $\vec{MF_1} \cdot \vec{MF_2} < 0$，则 $y_0$ 的取值范围是（ ） A. $(-\frac{\sqrt{3}}{3}, \frac{\sqrt{3}}{3})$ B. $(-\frac{\sqrt{3}}{6}, \frac{\sqrt{3}}{6})$ C. $(-\frac{2\sqrt{2}}{3}, \frac{2\sqrt{2}}{3})$ D. $(-\frac{2\sqrt{3}}{3}, \frac{2\sqrt{3}}{3})$","(-\frac{\sqrt{3}}{3}, \frac{\sqrt{3}}{3})"
"已知 $S_n$ 是等差数列 $\{a_n\}$ 的前 $n$ 项和，$a_2 = 3, a_5 = 9$，则 $S_{10} =$ ________。",$55$
"数列 $\{a_n\}$ 满足 $a_{n+1} = \frac{1}{1 - a_n}, a_8 = 2$，则 $a_1 =$ ________。",$\frac{1}{2}$
若数列 $\{a_n\}$ 的前 $n$ 项和为 $S_n = \frac{2}{3}a_n + \frac{1}{3}$，则数列 $\{a_n\}$ 的通项公式是 $a_n =$ ________。,$(-2)^{n-1}$
记 $S_n$ 为数列 $\{a_n\}$ 的前 $n$ 项和。若 $S_n = 2a_n + 1$，则 $S_6 =$ ________。,$-63$
"嫦娥二号卫星在完成探月任务后，继续进行深空探测，成为我国第一颗环绕太阳飞行的人造行星，为研究嫦娥二号绕日周期与地球绕日周期的比值，用到数列 $\{b_n\}$：$b_1 = 1 + \frac{1}{\alpha_1}, b_2 = 1 + \frac{1}{\alpha_1 + \frac{1}{\alpha_2}}, b_3 = 1 + \frac{1}{\alpha_1 + \frac{1}{\alpha_2 + \frac{1}{\alpha_3}}}, \dots$，依此类推，其中 $\alpha_k \in \mathbb{N}^* (k = 1, 2, \dots)$。则（ ） A. $b_1 < b_5$ B. $b_3 < b_8$ C. $b_6 < b_2$ D. $b_4 < b_7$",D
记 $S_n$ 为等差数列 $\{a_n\}$ 的前 $n$ 项和。若 $2S_3 = 3S_2 + 6$，则公差 $d =$ ________。,2
"北京天坛的圆丘坛为古代祭天的场所，分上、中、下三层，上层中心有一块圆形石板（称为天心石），环绕天心石砌 9 块扇面形石板构成第一环，向外每环依次增加 9 块，下一层的第一环比上一层的最后一环多 9 块，向外每环依次也增加 9 块。已知每层环数相同，且下层比中层多 729 块，则三层共有扇面形石板（不含天心石）（ ）
A. 3699 块  B. 3474 块  C. 3402 块  D. 3339 块",3402
已知等差数列 $\{a_n\}$ 的首项 $a_1 \neq 0$，且满足 $a_1 + a_{10} = a_9$，则 $\frac{a_1 + a_2 + \dots + a_9}{a_{10}} =$ ________。,$\frac{27}{8}$
"记 $S_n$ 为等差数列 $\{a_n\}$ 的前 $n$ 项和，若 $a_1 \neq 0, a_2 = 3a_1$，则 $\frac{S_{10}}{S_5} =$ ________。",4
"记 $S_n$ 为等差数列 $\{a_n\}$ 的前 $n$ 项和。已知 $S_4 = 0, a_5 = 5$，则（ ） A. $a_n = 2n - 5$ B. $a_n = 3n - 10$ C. $S_n = 2n^2 - 8n$ D. $S_n = \frac{1}{2}n^2 - 2n$",$a_n = 2n - 5$
"已知等差数列 $\{a_n\}$ 的首项 $a_1 \neq 0$，且满足 $a_1 + a_{10} = a_9$，则 $\frac{a_1 + a_2 + \dots + a_9}{a_{10}} =$ ________。已知数列 $\{a_n\} (n \in N^*)$ 是等差数列，$S_n$ 是其前 $n$ 项和。若 $a_2 a_5 + a_8 = 0, S_9 = 27$，则 $S_8$ 的值是 ________。",8
"设等差数列 $\{a_n\}$ 的前 $n$ 项和为 $S_n$，若 $a_2 = -3, S_5 = -10$，则 $a_5 =$ ________；$S_n$ 的最小值为 ________。",0  $-10$
"记 $S_n$ 为等差数列 $\{a_n\}$ 的前 $n$ 项和。若 $3S_3 = S_2 + S_4, a_1 = 2$，则 $a_5 =$（ ） A. $-12$ B. $-10$ C. 10 D. 12",$-10$
"设 $\{a_n\}$ 是等比数列，且 $a_1 = 3, a_2 + a_5 = 36$，则 $\{a_n\}$ 的前 7 项和 $S_7$ 为 ________。",1092
"记 $S_n$ 为等差数列 $\{a_n\}$ 的前 $n$ 项和，若 $a_3 = 0, a_6 + a_7 = 14$，则 $S_7 =$ ________；通项公式为 $a_n =$ ________。",21  $2n - 6$
"记 $S_n$ 为等差数列 $\{a_n\}$ 的前 $n$ 项和。若 $a_1 + a_5 = 24, S_6 = 48$，则 $\{a_n\}$ 的公差为（ ） A. 1 B. 2 C. 4 D. 8",4
"等差数列 $\{a_n\}$ 的首项为 1，公差不为 0。若 $a_2, a_3, a_6$ 成等比数列，则 $\{a_n\}$ 前 6 项的和为（ ）
A. $-24$  B. $-3$  C. 3  D. 8",3
已知等差数列 $\{a_n\}$ 前 9 项的和为 27，$a_{10} = 8$，则 $a_{100} =$（ ）,98
已知 $\{a_n\}$ 是公差为 1 的等差数列，$S_n$ 为 $\{a_n\}$ 的前 $n$ 项和，若 $S_8 = 4S_4$，则 $a_{10} =$（ ） A. $\frac{17}{2}$ B. $\frac{19}{2}$ C. 10 D. 12,$\frac{19}{2}$
设 $S_n$ 是等差数列 $\{a_n\}$ 的前 $n$ 项和，若 $a_1 + a_3 + a_5 = 3$，则 $S_5 =$（ ） A. 5 B. 7 C. 9 D. 11,5
"设数列 $\{a_n\}$ 的前 $n$ 项和为 $S_n$，且 $a_1 = -1, a_{n+1} = S_{n+1}S_n$，则 $S_n =$ ________。",$-\frac{1}{n}$
"等差数列 $\{a_n\}$ 的公差为 2，若 $a_2, a_4, a_8$ 成等比数列，则 $\{a_n\}$ 的前 $n$ 项和 $S_n =$（ ） A. $n(n+1)$ B. $n(n-1)$ C. $\frac{n(n+1)}{2}$ D. $\frac{n(n-1)}{2}$",$n(n+1)$
"记 $S_n$ 为等比数列 $\{a_n\}$ 的前 $n$ 项和。若 $S_2 = 4, S_4 = 6$，则 $S_6 =$（ ） A. 7 B. 8 C. 9 D. 10",7
"设 $\{a_n\}$ 是等比数列，且 $a_1 + a_2 + a_3 = 1, a_2 + a_3 + a_4 = 2$，则 $a_6 + a_7 + a_8 =$（ ） A. 12 B. 24 C. 30 D. 32",32
"记 $S_n$ 为等比数列 $\{a_n\}$ 的前 $n$ 项和。若 $a_5 - a_3 = 12, a_6 - a_4 = 24$，则 $\frac{S_n}{a_n} =$（ ） A. $2^n - 1$ B. $2 - 2^{1-n}$ C. $2 - 2^{n-1}$ D. $2^{1-n} - 1$",2 - 2^{1-n}
"数列 $\{a_n\}$ 中，$a_1 = 2, a_{m+n} = a_m a_n$，若 $a_{k+1} + a_{k+2} + \dots + a_{k+10} = 2^{15} - 2^5$，则 $k =$（ ）",4
已知各项均为正数的等比数列 $\{a_n\}$ 的前 4 项和为 15，且 $a_5 = 3a_3 + 4a_1$，则 $a_3 =$（ ）,4
"记 $S_n$ 为等比数列 $\{a_n\}$ 的前 $n$ 项和。若 $a_1 = \frac{1}{3}, a_4^2 = a_6$，则 $S_5 =$ ________。",$\frac{121}{81}$
"记 $S_n$ 为等比数列 $\{a_n\}$ 的前 $n$ 项和。若 $a_1 = 1, S_3 = \frac{3}{4}$，则 $S_4 =$ ________。",$\frac{5}{8}$
“十二平均律”是通用的音律体系，明代朱载堉最早用数学方法计算出半音比例。十二平均律将一个纯八度音程分成十二份，依次得到十三个单音，从第二个单音起，每一个单音的频率与它的前一个单音的频率的比都等于 $\sqrt[12]{2}$。若第一个单音的频率为 $f$，则第八个单音的频率为（ ） A. $\sqrt[3]{2}f$ B. $\sqrt[12]{2^2}f$ C. $\sqrt[12]{2^5}f$ D. $\sqrt[12]{2^7}f$,$\sqrt[12]{2^7}f$
"已知 $a_1, a_2, a_3, a_4$ 成等比数列，且 $a_1 + a_2 + a_3 + a_4 = \ln(a_1 + a_2 + a_3)$。若 $a_1 > 1$，则（ ）","$a_1 > a_3, a_2 < a_4$"
"我国古代数学名著《算法统宗》中有如下问题：“远望巍巍塔七层，红光点点倍加增，共灯三百八十一，请问尖头几盏灯？”意思是：一座 7 层塔共挂了 381 盏灯，且相邻两层中的下一层灯数是上一层灯数的 2 倍，则塔的顶层共有灯（ ）
A. 1 盏  B. 3 盏  C. 5 盏  D. 9 盏",3
"设等比数列 $\{a_n\}$ 满足 $a_1 + a_2 = -1, a_1 - a_3 = -3$，则 $a_4 =$ ________。",$-8$
"数列 $\{a_n\}$ 中 $a_1 = 2, a_{n+1} = 2a_n$，$S_n$ 为 $\{a_n\}$ 的前 $n$ 项和，若 $S_n = 126$，则 $n =$ ________。",6
"已知等比数列 $\{a_n\}$ 满足 $a_1 = 3, a_1 + a_3 + a_5 = 21$，则 $a_3 + a_5 + a_7 =$（ ） A. 21 B. 42 C. 63 D. 84",42
"已知等比数列 $\{a_n\}$ 满足 $a_1 = \frac{1}{4}, a_3 a_5 = 4(a_4 - 1)$，则 $a_2 =$（ ） A. 2 B. 1 C. $\frac{1}{2}$ D. $\frac{1}{8}$",$\frac{1}{2}$
"等比数列 $\{a_n\}$ 的前 $n$ 项和为 $S_n$，已知 $S_3 = a_2 + 10a_1, a_5 = 9$，则 $a_1 =$（",$\frac{1}{9}$
"已知数列 $\{a_n\}$ 满足 $3a_{n+1} + a_n = 0, a_2 = -\frac{4}{3}$，则 $\{a_n\}$ 的前 10 项和等于",$-2(1 - 3^{-10})$
"设 $\{a_n\}$ 是公差为 $d$ 的等差数列, $\{b_n\}$ 是公比为 $g$ 的等比数列,已知 $\{a_n + b_n\}$ 的前 $n$ 项和 $S_n = n^2 - n + 2^n - 1$ $(n \in N^*)$,则 $d+g$ 的值是",3
"设等比数列满足 $a_1 + a_3 = 10$ , $a_2 + a_4 = 5$ , 则 $a_1a_2\cdots a_5$ 的值为？",64
"记 $S_n$ 为等差数列 $\{a_n\}$ 的前 $n$ 项和, 若 $a_1 = -2, a_2 + a_6 = 2$ , 则 $S_{10} =$",25
"已知数列 $\{a_n\}$ 满足 $a_n=\frac{n(n+1)}{2}$ ,则 $S_3=$",10
"将数列 $\{2n-1\}$ 与 $\{3n-2\}$ 的公共项从小到大排列得到数列 $\{a_n\}$, 则 $\{a_n\}$ 的前 n 项和为 .",$3n^2-2n$
"已知数列 $\{a_n\}$ 满足 $a_1=1, a_{n+1}=\frac{a_n}{1+\sqrt{a_n}} (n \in \mathbb{N}^*)$ . 记数列 $\{a_n\}$ 的前 n 项和为 $S_n$ ,则",$\frac{3}{2} < S_{100} < 3$
"等差数列 $\{a_n\}$ 的前 $n$ 项和为 $S_n$ , $a_3 = 3$, $S_4 = 10$, 则 $\sum_{k=1}^n \frac{1}{S_k}$ = .",$\frac{2n}{n+1}$
"若数列 $\{a_n\}$ 的通项公式是 $a_n = (-1) \cdot (3n-2)$ ,则 $a_1 + a_2 + \dots + a_{10} =$ ( )",-15
"定义""规范01数列"" $\{a_n\}$ 如下: $\{a_n\}$ 共有 $2m$ 项, 其中 $m$ 项为 $0$, $m$ 项为 $1$, 且对任意 $k \leq 2m$, $a_1, a_2, \ldots, a_k$ 中 $0$ 的个数不少于 $1$ 的个数, 若 $m=4$, 则不同的""规范01数列""共有",14
"等差数列 $\{a_n\}$ 前 $n$ 项和为 $S_n$ , $S_{10}=0$ , $S_{15}=25$ ,则 $nS_n$ 的最小值为 .",-49
"设 $a=0.1e^{0.1}, b=\frac{1}{9}, c=-\ln 0.9$ ,大小关系是",a < c < b
"已知 $a = \frac{31}{32}, b = \cos \frac{1}{4}, c = 4\sin \frac{1}{4}$ ,则,大小关系是",c > b > a
"已知  $9^m = 10, a = 10^m - 11, b = 8^m - 9$ ,则,大小关系是",a > 0 > b
"若 $2^a + \log_2 a = 4^b + 2\log_4 b$ ,则 ( ),大小关系是",a < 2b
"设 $a=3^{0.7}, b=\left(\frac{1}{3}\right)^{-0.8}, c=\log_{0.7}0.8$ ,则 $a, b, c$ 的大小关系为",c < a < b
"设函数 $f(x) = \begin{cases} x+1, & x \leq 0 \\ 2^x, & x > 0 \end{cases}$ ,则满足 $f(x) + f(x - \frac{1}{2}) > 1$ 的$x$的取值范围是.","$\left(-\frac{1}{4}, +\infty\right)$"
"设函数 $f(x) = \begin{cases} e^{x-1}, & x < 1, \\ x^{\frac{1}{3}}, & x \ge 1, \end{cases}$ 则使得 $f(x) < 2$ 成立的 $x$ 的取值范围是","(-∞,8]"
"对任意 $x, y$, $x^2 + y^2 - xy = 1$，则","$x + y \ge -2$ 
$x^2 + y^2 \le 2$"
"已知 $\alpha, \beta, \gamma$ 是互不相同的锐角,则在 $\sin \alpha \cos \beta$ , $\sin \beta \cos \gamma$ , $\sin \gamma \cos \alpha$ 三个值中,大于 $\frac{1}{2}$ 的个数的最大值是 ( )",2
"若 $a > 0$, $b > 0$, 则 $\frac{1}{a} + \frac{a}{b^2} + b$ 的最小值为",$2\sqrt{2}$
"已知 $a > 0$, $b > 0$, 且 $ab = 1$, 则 $\frac{1}{2a} + \frac{1}{2b} + \frac{8}{a+b}$ 的最小值为 .",4
"设 $x > 0$, $y > 0$, $x + 2y = 5$, 则 $\frac{(x+1)(2y+1)}{\sqrt{xy}}$ 的最小值为",$4\sqrt{3}$
"已知 $a,b \in \mathbb{R}$ , 且 $a-3b+6=0$ , 则 $2^a+\frac{1}{8^b}$ 的最小值为",1
"若 $a, b \in \mathbb{R}$, $ab > 0$, 则 $\frac{a^4 + 4b^4 + 1}{ab}$ 的最小值为",4
"已知 $a \in \mathbb{R}$ ,函数 $f(x) = \left| x + \frac{4}{x} - a \right| + a$ 在区间 [1, 4]上的最大值是 5 ,则 a 的取值范围是 .","$\left(-\infty, \frac{9}{2}\right)$"
"已知平面向量 $\vec{a}, \vec{b}, \vec{c} (\vec{c} \neq \vec{0})$ 满足 $|\vec{a}| = 1, |\vec{b}| = 2, \vec{a} \cdot \vec{b} = 0, (\vec{a} - \vec{b}) \cdot \vec{c} = 0$。记向量 $\vec{d}$ 在 $\vec{a}$, $\vec{b}$ 方向上的投影分别为 $x, y$, $\vec{d} - \vec{a}$ 在 $\vec{c}$ 方向上的投影为 $z$, 则 $x^2 + y^2 + z^2$ 的最小值为",2
"在区间(0,1)与(1,2)中各随机取1个数,则两数之和大于 $\frac{7}{4}$ 的概率为",$\frac{23}{32}$
"若 $x,y$ 满足约束条件 $\{x-y-1 \ge 0, \, \, \text{则 } z = 1\}$，$x+7y$ 的最大值为",8
"若 $x,y$ 满足约束条件 $\{2x-y \ge 0, y \ge 3\}$，求 $2x + 2y$ 的最大值。",12
"若 $x, y$ 满足约束条件 $\begin{cases} x+y \geqslant -1 , \\ x-y \geqslant -1 , \\ y \geqslant -1 \end{cases}$ 则 $z=2x-y \leqslant 1$ , $x+2y$ 的最大值是",3
"若 $x, y$ 满足约束条件 $\begin{cases} x+y \ge 0, \\ 2x-y \ge 0, \\ x \le 1, \end{cases}$ $x + 2y$ 的最大值为 .",3
"若 $x,y$ 满足约束条件 $\begin{cases} 2x+y-2 \le 0, \\ x-y-1 \ge 0, \\ y+1 \ge 0, \end{cases}$ 则 $x+7y$ 的最大值为",2
